场次号,联赛,主队,客队,更新时间,0球,1球,2球,3球,4球,5球,6球,7球及以上
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,21.00,7.50,4.25,3.65,4.55,7.15,12.00,14.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:01:45,23.00,8.10,4.40,3.65,4.50,6.85,11.00,13.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,23.00,7.60,4.40,3.70,4.50,7.00,10.50,14.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-29 12:57:22,23.00,7.80,4.60,3.70,4.50,6.90,10.00,13.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,16.00,6.25,3.75,3.55,4.90,8.55,15.00,22.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:19:18,17.00,6.35,3.85,3.55,4.90,8.25,14.00,20.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 17:41:11,17.00,6.50,3.95,3.55,4.80,8.00,13.50,20.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,20.00,7.00,4.25,3.60,4.50,7.65,12.00,16.00
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-29 12:38:23,20.00,7.25,4.30,3.50,4.30,7.75,13.00,17.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,16.00,6.00,3.85,3.60,4.90,8.35,15.00,21.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 11:59:20,16.00,6.20,4.00,3.60,4.90,8.00,14.00,19.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:27:18,18.00,6.40,4.00,3.60,4.90,7.70,13.50,18.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 13:24:14,18.00,6.40,4.00,3.60,4.90,7.70,13.50,18.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 13:57:33,18.00,6.45,4.10,3.60,4.70,7.70,13.50,18.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:17:13,20.00,6.90,4.30,3.60,4.50,7.25,12.50,17.00
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:50:55,23.00,7.25,4.40,3.60,4.40,7.00,12.00,16.00
周六014,英超,考文垂,赫尔城,22:00,2026-08-28 09:47:05,12.00,5.10,3.45,3.65,5.60,10.50,19.00,29.00
周六014,英超,考文垂,赫尔城,22:00,2026-08-29 14:53:54,12.00,5.10,3.35,3.65,5.80,10.50,20.00,29.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,2026-08-28 09:47:05,13.00,5.40,3.65,3.65,5.20,9.75,17.00,25.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,2026-08-29 17:50:19,13.00,5.40,3.50,3.65,5.30,10.00,18.00,26.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2026-08-28 09:47:05,12.00,4.90,3.40,3.70,5.75,10.50,20.00,30.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-28 09:47:05,16.00,6.00,3.90,3.60,4.80,8.30,15.00,22.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-29 14:03:49,16.00,6.30,4.15,3.60,4.70,8.00,14.00,18.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-29 15:24:25,18.00,6.40,4.15,3.55,4.60,8.00,14.00,18.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2026-08-28 09:47:05,18.00,6.70,4.15,3.60,4.65,7.70,13.00,17.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2026-08-29 12:37:49,17.00,6.35,4.05,3.60,4.80,8.00,13.50,18.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2026-08-29 14:12:23,18.00,6.70,4.15,3.60,4.65,7.70,13.00,17.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2026-08-29 16:13:44,18.00,6.80,4.20,3.55,4.55,7.70,13.00,18.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2026-08-29 18:56:31,18.00,6.80,4.20,3.40,4.45,8.00,15.00,19.00
周六020,德甲,多特蒙德,汉堡,00:30,2026-08-28 09:47:05,21.00,7.00,4.35,3.65,4.50,7.25,12.00,15.00
周六020,德甲,多特蒙德,汉堡,00:30,2026-08-29 12:33:56,22.00,7.30,4.40,3.65,4.50,7.15,11.50,14.00
周六020,德甲,多特蒙德,汉堡,00:30,2026-08-29 16:14:30,22.00,7.40,4.50,3.55,4.40,7.15,12.00,14.50
周六020,德甲,多特蒙德,汉堡,00:30,2026-08-29 19:04:06,24.00,7.60,4.65,3.55,4.20,7.15,11.50,14.50
周六021,意甲,蒙扎,乌迪内斯,00:30,2026-08-28 09:47:05,9.00,4.20,3.25,3.85,7.00,13.00,25.00,40.00
