场次号,联赛,主队,客队,更新时间,比分,赔率
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,0:0,21.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,0:1,11.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,0:2,9.50
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,0:3,13.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,0:4,25.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,0:5,60.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,1:0,20.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,1:1,8.75
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,1:2,7.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,1:3,10.50
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,1:4,20.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,1:5,50.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,2:0,31.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,2:1,13.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,2:2,12.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,2:3,16.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,2:4,31.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,2:5,70.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,3:0,80.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,3:1,35.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,3:2,33.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,3:3,41.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,4:0,250.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,4:1,100.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,4:2,100.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,5:0,650.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,5:1,500.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,5:2,350.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,0:0,23.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,0:1,11.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,0:2,9.50
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,0:3,13.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,0:4,25.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,0:5,55.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,1:0,21.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,1:1,8.75
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,1:2,7.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,1:3,10.50
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,1:4,19.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,1:5,45.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,2:0,31.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,2:1,14.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,2:2,12.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,2:3,15.50
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,2:4,30.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,2:5,65.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,3:0,80.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,3:1,35.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,3:2,33.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,3:3,41.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,4:0,250.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,4:1,100.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,4:2,100.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,5:0,650.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,5:1,500.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:03:13,5:2,350.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,0:0,23.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,0:1,22.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,0:2,35.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,0:3,100.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,0:4,350.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,0:5,750.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,1:0,11.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,1:1,9.50
