场次号,联赛,主队,客队,更新时间,胜,平,负
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,4.60,4.07,1.50
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 11:22:45,4.80,4.15,1.47
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:22:03,4.95,4.20,1.45
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 17:25:36,5.12,4.35,1.42
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,1.43,4.30,5.05
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-29 15:39:10,1.41,4.35,5.25
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,2.34,3.40,2.45
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:22,2.41,3.40,2.38
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,2.75,3.57,2.06
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-29 14:10:09,2.82,3.57,2.02
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,1.50,3.93,4.80
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 11:23:44,1.47,4.00,5.05
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:26:38,1.44,4.08,5.26
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:12:49,1.42,4.15,5.45
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:50:38,1.39,4.25,5.75
周六014,英超,考文垂,赫尔城,22:00,2026-08-28 09:47:05,1.63,3.46,4.40
周六014,英超,考文垂,赫尔城,22:00,2026-08-29 15:36:26,1.61,3.50,4.50
周六014,英超,考文垂,赫尔城,22:00,2026-08-29 19:23:46,1.58,3.55,4.65
周六015,英超,伯恩茅斯,埃弗顿,22:00,2026-08-28 09:47:05,1.87,3.35,3.38
周六015,英超,伯恩茅斯,埃弗顿,22:00,2026-08-29 14:12:34,1.90,3.35,3.30
周六015,英超,伯恩茅斯,埃弗顿,22:00,2026-08-29 18:45:43,1.91,3.35,3.25
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2026-08-28 09:47:05,2.95,3.20,2.10
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2026-08-29 11:39:43,3.05,3.20,2.05
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2026-08-29 13:52:27,3.12,3.25,2.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2026-08-29 16:10:04,3.08,3.20,2.03
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2026-08-29 19:14:32,3.12,3.25,2.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-28 09:47:05,3.02,3.48,1.96
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-29 11:28:51,3.13,3.50,1.91
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-29 13:30:47,3.28,3.50,1.86
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-29 13:37:31,3.35,3.55,1.82
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-29 14:03:28,3.45,3.65,1.77
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-29 17:33:06,3.52,3.75,1.73
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2026-08-28 09:47:05,2.06,3.48,2.80
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2026-08-29 16:53:34,2.02,3.50,2.87
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,2026-08-29 19:08:02,1.98,3.55,2.92
周六020,德甲,多特蒙德,汉堡,00:30,2026-08-28 09:47:05,1.24,5.05,8.00
周六020,德甲,多特蒙德,汉堡,00:30,2026-08-29 11:26:48,1.22,5.20,8.50
周六020,德甲,多特蒙德,汉堡,00:30,2026-08-29 12:33:43,1.21,5.35,8.60
周六020,德甲,多特蒙德,汉堡,00:30,2026-08-29 12:53:03,1.22,5.20,8.50
周六020,德甲,多特蒙德,汉堡,00:30,2026-08-29 13:01:49,1.24,5.05,8.00
周六020,德甲,多特蒙德,汉堡,00:30,2026-08-29 13:35:25,1.25,5.00,7.70
周六021,意甲,蒙扎,乌迪内斯,00:30,2026-08-28 09:47:05,2.82,2.95,2.30
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,2026-08-28 09:47:05,1.50,3.80,5.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,2026-08-29 15:38:52,1.52,3.75,4.90
周六023,意甲,萨索洛,都灵,00:30,2026-08-28 09:47:05,2.08,3.10,3.08
周六023,意甲,萨索洛,都灵,00:30,2026-08-29 16:52:20,2.11,3.02,3.08
周六025,西甲,皇家社会,西班牙人,01:00,2026-08-28 09:47:05,1.83,3.30,3.60
周六025,西甲,皇家社会,西班牙人,01:00,2026-08-29 14:15:40,1.80,3.30,3.70
周六025,西甲,皇家社会,西班牙人,01:00,2026-08-29 17:32:29,1.75,3.35,3.85
周六027,意甲,尤文图斯,帕尔马,02:45,2026-08-28 09:47:05,1.12,6.25,13.00
周六028,西甲,塞维利亚,马德里竞技,03:30,2026-08-28 09:47:05,3.55,3.30,1.84
