场次号,联赛,主队,客队,更新时间,让球胜,让球平,让球负
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-28 09:47:05,2.24,3.65,2.45
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 11:22:53,2.30,3.65,2.38
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 12:22:08,2.36,3.70,2.30
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2026-08-29 17:25:45,2.42,3.70,2.24
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-28 09:47:05,2.31,3.70,2.35
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-29 12:23:24,2.27,3.80,2.35
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2026-08-29 15:39:15,2.18,3.80,2.46
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 09:47:05,5.00,4.25,1.44
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:26,5.25,4.35,1.41
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-28 09:47:05,1.57,4.00,4.12
周六012,德甲,科隆,霍芬海姆,21:30,2026-08-29 14:10:15,1.60,3.95,3.98
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-28 09:47:05,2.60,3.40,2.22
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 11:23:53,2.50,3.40,2.30
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 12:26:46,2.38,3.46,2.38
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 14:11:02,2.32,3.60,2.38
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 16:12:55,2.22,3.70,2.45
周六013,德甲,美因茨,帕德博恩,21:30,2026-08-29 17:50:43,2.15,3.80,2.50
周六014,英超,考文垂,赫尔城,22:00,2026-08-28 09:47:05,3.00,3.45,1.98
周六014,英超,考文垂,赫尔城,22:00,2026-08-29 15:36:32,2.95,3.38,2.02
周六014,英超,考文垂,赫尔城,22:00,2026-08-29 19:23:33,2.95,3.33,2.04
周六015,英超,伯恩茅斯,埃弗顿,22:00,2026-08-28 09:47:05,3.60,3.70,1.72
周六015,英超,伯恩茅斯,埃弗顿,22:00,2026-08-29 14:12:44,3.70,3.70,1.70
周六015,英超,伯恩茅斯,埃弗顿,22:00,2026-08-29 18:45:37,3.80,3.75,1.67
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2026-08-28 09:47:05,1.56,3.80,4.45
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2026-08-29 11:39:51,1.58,3.75,4.35
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2026-08-29 13:52:33,1.62,3.70,4.15
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2026-08-29 16:09:55,1.59,3.75,4.27
周六016,西甲,莱万特,皇家贝蒂斯,23:00,2026-08-29 19:14:39,1.62,3.70,4.15
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-28 09:47:05,1.65,3.80,3.85
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-29 11:28:57,1.68,3.80,3.70
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-29 13:31:05,1.72,3.75,3.55
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-29 13:37:36,1.76,3.75,3.40
周六017,法甲,斯特拉斯堡,朗斯,23:15,2026-08-29 14:03:34,1.82,3.75,3.20
