场次号,联赛,主队,客队,比分,赔率
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,1:2,7.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,1:1,8.75
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,0:2,9.50
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,1:3,10.50
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,0:1,11.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2:2,12.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,0:3,13.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2:1,14.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2:3,15.50
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,1:4,19.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,1:0,21.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,0:0,23.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,0:4,25.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2:4,30.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2:0,31.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,3:2,33.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,3:1,35.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,3:3,41.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,1:5,45.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,0:5,55.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,2:5,65.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,3:0,80.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,4:1,100.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,4:2,100.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,4:0,250.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,5:2,350.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,5:1,500.00
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,5:0,650.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2:1,7.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2:0,9.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,1:1,9.50
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,3:1,10.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,1:0,11.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,3:0,12.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2:2,13.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,1:2,14.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,3:2,16.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,4:1,19.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,0:1,22.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,4:0,22.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,0:0,23.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,4:2,30.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2:3,33.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,0:2,35.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,1:3,37.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,5:1,39.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,3:3,40.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,5:0,50.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,5:2,65.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,0:3,100.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,1:4,125.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2:4,125.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,0:4,350.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,1:5,500.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,2:5,500.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,0:5,750.00
周六011,德甲,柏林联合,法兰克福,21:30,1:1,7.25
周六011,德甲,柏林联合,法兰克福,21:30,1:2,7.75
周六011,德甲,柏林联合,法兰克福,21:30,2:1,8.00
周六011,德甲,柏林联合,法兰克福,21:30,2:2,11.00
周六011,德甲,柏林联合,法兰克福,21:30,0:1,11.50
周六011,德甲,柏林联合,法兰克福,21:30,1:0,12.00
周六011,德甲,柏林联合,法兰克福,21:30,0:2,14.00
周六011,德甲,柏林联合,法兰克福,21:30,2:0,15.00
周六011,德甲,柏林联合,法兰克福,21:30,1:3,16.00
周六011,德甲,柏林联合,法兰克福,21:30,0:0,17.00
周六011,德甲,柏林联合,法兰克福,21:30,3:1,18.00
周六011,德甲,柏林联合,法兰克福,21:30,2:3,21.00
周六011,德甲,柏林联合,法兰克福,21:30,3:2,22.00
周六011,德甲,柏林联合,法兰克福,21:30,0:3,27.00
周六011,德甲,柏林联合,法兰克福,21:30,3:0,29.00
周六011,德甲,柏林联合,法兰克福,21:30,3:3,41.00
周六011,德甲,柏林联合,法兰克福,21:30,1:4,45.00
周六011,德甲,柏林联合,法兰克福,21:30,2:4,50.00
周六011,德甲,柏林联合,法兰克福,21:30,4:1,50.00
周六011,德甲,柏林联合,法兰克福,21:30,4:2,60.00
周六011,德甲,柏林联合,法兰克福,21:30,0:4,70.00
周六011,德甲,柏林联合,法兰克福,21:30,4:0,80.00
周六011,德甲,柏林联合,法兰克福,21:30,1:5,125.00
周六011,德甲,柏林联合,法兰克福,21:30,2:5,150.00
周六011,德甲,柏林联合,法兰克福,21:30,0:5,175.00
周六011,德甲,柏林联合,法兰克福,21:30,5:1,175.00
周六011,德甲,柏林联合,法兰克福,21:30,5:2,200.00
周六011,德甲,柏林联合,法兰克福,21:30,5:0,250.00
周六012,德甲,科隆,霍芬海姆,21:30,1:2,7.25
周六012,德甲,科隆,霍芬海姆,21:30,1:1,8.00
周六012,德甲,科隆,霍芬海姆,21:30,2:1,9.00
周六012,德甲,科隆,霍芬海姆,21:30,2:2,11.00
周六012,德甲,科隆,霍芬海姆,21:30,0:1,12.50
周六012,德甲,科隆,霍芬海姆,21:30,0:2,14.00
周六012,德甲,科隆,霍芬海姆,21:30,1:3,14.00
周六012,德甲,科隆,霍芬海姆,21:30,1:0,15.00
周六012,德甲,科隆,霍芬海姆,21:30,2:3,17.00
周六012,德甲,科隆,霍芬海姆,21:30,2:0,19.00
周六012,德甲,科隆,霍芬海姆,21:30,3:1,19.00
周六012,德甲,科隆,霍芬海姆,21:30,0:0,20.00
周六012,德甲,科隆,霍芬海姆,21:30,3:2,22.00
周六012,德甲,科隆,霍芬海姆,21:30,0:3,23.00
周六012,德甲,科隆,霍芬海姆,21:30,1:4,31.00
周六012,德甲,科隆,霍芬海姆,21:30,3:3,31.00
周六012,德甲,科隆,霍芬海姆,21:30,3:0,35.00
周六012,德甲,科隆,霍芬海姆,21:30,2:4,40.00
周六012,德甲,科隆,霍芬海姆,21:30,0:4,55.00
周六012,德甲,科隆,霍芬海姆,21:30,4:1,55.00
周六012,德甲,科隆,霍芬海姆,21:30,4:2,60.00
周六012,德甲,科隆,霍芬海姆,21:30,1:5,80.00
周六012,德甲,科隆,霍芬海姆,21:30,2:5,90.00
周六012,德甲,科隆,霍芬海姆,21:30,4:0,100.00
周六012,德甲,科隆,霍芬海姆,21:30,0:5,125.00
周六012,德甲,科隆,霍芬海姆,21:30,5:1,175.00
周六012,德甲,科隆,霍芬海姆,21:30,5:2,175.00
周六012,德甲,科隆,霍芬海姆,21:30,5:0,350.00
周六013,德甲,美因茨,帕德博恩,21:30,2:1,7.00
周六013,德甲,美因茨,帕德博恩,21:30,2:0,8.25
周六013,德甲,美因茨,帕德博恩,21:30,1:1,8.75
周六013,德甲,美因茨,帕德博恩,21:30,1:0,9.00
周六013,德甲,美因茨,帕德博恩,21:30,3:1,10.00
周六013,德甲,美因茨,帕德博恩,21:30,3:0,11.00
周六013,德甲,美因茨,帕德博恩,21:30,2:2,14.00
周六013,德甲,美因茨,帕德博恩,21:30,1:2,17.00
周六013,德甲,美因茨,帕德博恩,21:30,3:2,18.00
周六013,德甲,美因茨,帕德博恩,21:30,4:0,18.00
周六013,德甲,美因茨,帕德博恩,21:30,4:1,18.00
周六013,德甲,美因茨,帕德博恩,21:30,0:1,21.00
周六013,德甲,美因茨,帕德博恩,21:30,0:0,23.00
周六013,德甲,美因茨,帕德博恩,21:30,4:2,35.00
周六013,德甲,美因茨,帕德博恩,21:30,0:2,40.00
周六013,德甲,美因茨,帕德博恩,21:30,1:3,40.00
周六013,德甲,美因茨,帕德博恩,21:30,2:3,40.00
