场次号,联赛,主队,客队,开赛时间,胜平负_胜,胜平负_平,胜平负_负,让球_胜,让球_平,让球_负,总进球_0球,总进球_1球,总进球_2球,总进球_3球,总进球_4球,总进球_5球,总进球_6球,总进球_7球及以上
周六009,德甲,埃尔沃斯堡,勒沃库森,21:30,5.12,4.35,1.42,2.42,3.70,2.24,23.00,8.10,4.40,3.65,4.50,6.85,11.00,13.00
周六010,德甲,莱比锡红牛,门兴格拉德巴赫,21:30,1.41,4.35,5.25,2.18,3.80,2.46,23.00,7.80,4.60,3.70,4.50,6.90,10.00,13.00
周六011,德甲,柏林联合,法兰克福,21:30,2.41,3.40,2.38,5.25,4.35,1.41,17.00,6.50,3.95,3.55,4.80,8.00,13.50,20.00
周六012,德甲,科隆,霍芬海姆,21:30,2.82,3.57,2.02,1.60,3.95,3.98,20.00,7.25,4.30,3.50,4.30,7.75,13.00,17.00
周六013,德甲,美因茨,帕德博恩,21:30,1.39,4.25,5.75,2.15,3.80,2.50,23.00,7.25,4.40,3.60,4.40,7.00,12.00,16.00
周六014,英超,考文垂,赫尔城,22:00,1.58,3.55,4.65,2.95,3.33,2.04,12.00,5.10,3.35,3.65,5.80,10.50,20.00,29.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,1.91,3.35,3.25,3.80,3.75,1.67,13.00,5.40,3.50,3.65,5.30,10.00,18.00,26.00
周六016,西甲,莱万特,皇家贝蒂斯,23:00,3.12,3.25,2.00,1.62,3.70,4.15,12.00,4.90,3.40,3.70,5.75,10.50,20.00,30.00
周六017,法甲,斯特拉斯堡,朗斯,23:15,3.52,3.75,1.73,1.85,3.85,3.05,18.00,6.40,4.15,3.55,4.60,8.00,14.00,18.00
周六019,英超,托特纳姆热刺,纽卡斯尔联,00:30,1.98,3.55,2.92,3.82,4.00,1.62,18.00,6.80,4.20,3.40,4.45,8.00,15.00,19.00
周六020,德甲,多特蒙德,汉堡,00:30,1.25,5.00,7.70,1.79,3.88,3.20,24.00,7.60,4.65,3.55,4.20,7.15,11.50,14.50
周六021,意甲,蒙扎,乌迪内斯,00:30,2.82,2.95,2.30,1.48,3.70,5.45,9.00,4.20,3.05,3.85,7.20,14.00,28.00,46.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,1.52,3.75,4.90,2.73,3.35,2.15,14.00,5.50,3.65,3.55,5.40,9.25,16.00,25.00
周六023,意甲,萨索洛,都灵,00:30,2.11,3.02,3.08,4.68,3.70,1.55,11.00,4.75,3.00,3.60,6.30,13.00,28.00,50.00
周六025,西甲,皇家社会,西班牙人,01:00,1.75,3.35,3.85,3.55,3.25,1.85,12.00,5.05,3.30,3.60,5.90,11.00,20.00,32.00
周六027,意甲,尤文图斯,帕尔马,02:45,1.12,6.25,13.00,2.60,3.85,2.06,15.00,5.25,3.85,3.60,4.85,9.50,17.00,25.00
周六028,西甲,塞维利亚,马德里竞技,03:30,3.55,3.30,1.84,1.76,3.45,3.68,10.00,4.50,3.30,3.85,6.25,12.00,21.00,35.00
